libdc1394 error: Failed to initialize libdc1394
Training net...

Iteration     0: accuracy_at_1 =  0.78%; accuracy_at_5 =  5.86%; loss = 4.605170 
Iteration    10: accuracy_at_1 =  0.39%; accuracy_at_5 =  4.69%; loss = 4.605583  (0.985650 s/it)
Iteration    20: accuracy_at_1 =  0.39%; accuracy_at_5 =  5.86%; loss = 4.600458  (0.978382 s/it)
Iteration    30: accuracy_at_1 =  1.56%; accuracy_at_5 =  3.12%; loss = 4.606870  (0.992652 s/it)
Iteration    40: accuracy_at_1 =  0.00%; accuracy_at_5 =  2.73%; loss = 4.602877  (0.992366 s/it)
Iteration    50: accuracy_at_1 =  1.17%; accuracy_at_5 =  4.30%; loss = 4.605270  (0.992038 s/it)
Iteration    60: accuracy_at_1 =  1.17%; accuracy_at_5 =  5.08%; loss = 4.610177  (0.992249 s/it)
Iteration    70: accuracy_at_1 =  1.95%; accuracy_at_5 =  5.47%; loss = 4.601511  (0.992468 s/it)
Iteration    80: accuracy_at_1 =  1.56%; accuracy_at_5 =  5.86%; loss = 4.602439  (0.992017 s/it)
Iteration    90: accuracy_at_1 =  0.78%; accuracy_at_5 =  5.08%; loss = 4.591289  (0.993039 s/it)
Iteration   100: accuracy_at_1 =  2.34%; accuracy_at_5 =  5.47%; loss = 4.574718  (0.992438 s/it)
Iteration   110: accuracy_at_1 =  2.73%; accuracy_at_5 = 10.94%; loss = 4.571826  (0.992052 s/it)
Iteration   120: accuracy_at_1 =  1.95%; accuracy_at_5 = 10.55%; loss = 4.538362  (0.991463 s/it)
Iteration   130: accuracy_at_1 =  3.52%; accuracy_at_5 = 11.33%; loss = 4.458083  (0.992897 s/it)
Iteration   140: accuracy_at_1 =  1.95%; accuracy_at_5 = 10.55%; loss = 4.471049  (0.993262 s/it)
Iteration   150: accuracy_at_1 =  0.78%; accuracy_at_5 =  5.86%; loss = 4.524458  (0.993023 s/it)
Iteration   160: accuracy_at_1 =  0.78%; accuracy_at_5 =  7.03%; loss = 4.458416  (0.993358 s/it)
Iteration   170: accuracy_at_1 =  2.34%; accuracy_at_5 = 10.16%; loss = 4.470450  (0.994972 s/it)
Iteration   180: accuracy_at_1 =  0.78%; accuracy_at_5 =  6.25%; loss = 4.537871  (0.994111 s/it)
Iteration   190: accuracy_at_1 =  2.73%; accuracy_at_5 = 12.11%; loss = 4.482982  (0.993070 s/it)
Iteration   200: accuracy_at_1 =  3.52%; accuracy_at_5 = 13.28%; loss = 4.434056  (0.992512 s/it)
Iteration   210: accuracy_at_1 =  3.12%; accuracy_at_5 = 11.72%; loss = 4.390436  (0.992767 s/it)
Iteration   220: accuracy_at_1 =  3.52%; accuracy_at_5 = 11.33%; loss = 4.436504  (0.992385 s/it)
Iteration   230: accuracy_at_1 =  4.30%; accuracy_at_5 = 13.67%; loss = 4.411281  (0.992972 s/it)
Iteration   240: accuracy_at_1 =  3.52%; accuracy_at_5 = 10.94%; loss = 4.416581  (0.993132 s/it)
Iteration   250: accuracy_at_1 =  3.12%; accuracy_at_5 = 10.94%; loss = 4.413901  (0.992919 s/it)
Iteration   260: accuracy_at_1 =  1.95%; accuracy_at_5 = 11.72%; loss = 4.415598  (0.993501 s/it)
Iteration   270: accuracy_at_1 =  1.56%; accuracy_at_5 = 12.50%; loss = 4.418330  (0.995319 s/it)
Iteration   280: accuracy_at_1 =  2.73%; accuracy_at_5 = 11.33%; loss = 4.348791  (0.992675 s/it)
Iteration   290: accuracy_at_1 =  5.08%; accuracy_at_5 = 16.41%; loss = 4.257465  (0.992661 s/it)
Iteration   300: accuracy_at_1 =  3.12%; accuracy_at_5 = 10.16%; loss = 4.413890  (0.992582 s/it)
Iteration   310: accuracy_at_1 =  6.64%; accuracy_at_5 = 21.09%; loss = 4.191653  (0.993282 s/it)
Iteration   320: accuracy_at_1 =  3.12%; accuracy_at_5 = 16.02%; loss = 4.194031  (0.992979 s/it)
Iteration   330: accuracy_at_1 =  3.91%; accuracy_at_5 = 16.02%; loss = 4.262686  (0.992298 s/it)
Iteration   340: accuracy_at_1 =  4.30%; accuracy_at_5 = 16.02%; loss = 4.215789  (0.991982 s/it)
Iteration   350: accuracy_at_1 =  8.20%; accuracy_at_5 = 18.36%; loss = 4.206707  (0.992403 s/it)
Iteration   360: accuracy_at_1 =  3.52%; accuracy_at_5 = 13.67%; loss = 4.270936  (0.992065 s/it)
Iteration   370: accuracy_at_1 =  5.86%; accuracy_at_5 = 18.36%; loss = 4.205618  (0.992993 s/it)
Iteration   380: accuracy_at_1 =  5.86%; accuracy_at_5 = 20.31%; loss = 4.227296  (0.992001 s/it)
Iteration   390: accuracy_at_1 =  3.12%; accuracy_at_5 = 18.36%; loss = 4.284064  (0.993170 s/it)
Iteration   400: accuracy_at_1 =  6.25%; accuracy_at_5 = 21.48%; loss = 4.161965  (0.984474 s/it)
Iteration   410: accuracy_at_1 =  5.08%; accuracy_at_5 = 20.31%; loss = 4.187193  (0.985154 s/it)
Iteration   420: accuracy_at_1 =  4.30%; accuracy_at_5 = 21.09%; loss = 4.203874  (0.984950 s/it)
Iteration   430: accuracy_at_1 =  4.30%; accuracy_at_5 = 19.14%; loss = 4.255166  (0.984596 s/it)
Iteration   440: accuracy_at_1 =  6.64%; accuracy_at_5 = 19.53%; loss = 4.224950  (0.984823 s/it)
Iteration   450: accuracy_at_1 =  4.30%; accuracy_at_5 = 16.80%; loss = 4.264311  (0.984127 s/it)
Iteration   460: accuracy_at_1 =  6.25%; accuracy_at_5 = 19.92%; loss = 4.112208  (0.983249 s/it)
Iteration   470: accuracy_at_1 =  5.47%; accuracy_at_5 = 18.36%; loss = 4.089145  (0.983946 s/it)
